priority,lane,task,page,status,source,owner_needed,evidence_required
P0,citations,Escalate BuildZoom license verification mismatch,/about/certifications-and-licenses,owner-needed,Yext cleanup doc,yes,BuildZoom corrected license state or support thread; do not claim fixed until live.
P0,citations,Resolve Facebook NAP/name conflict or old Prime Solutions/Ashburn variant,/,owner-needed,Yext cleanup doc,yes,Before/after screenshot or public URL with corrected public identity.
P0,commercial-proof,Verify deck repair cost ranges from real pricing evidence,/services/deck-repair,missing,evidence coverage,yes,"Invoices, accepted estimates, calculator data, or owner-approved pricing policy for joist sistering, ledger work, post replacement, and stabilization."
P0,commercial-proof,Verify exact repair workmanship warranty wording,/services/deck-repair,missing,evidence coverage,yes,"Exact term, coverage scope, exclusions, structural/labor distinction, and resurfacing distinction if any."
P0,gbp,Upload original project photos tied to evidence ledger priorities,/showcase,owner-needed,proof ops board,yes,Original project photos only; include city and month/year metadata where known. No stock imagery.
P0,gbp,Verify GBP public identity matches canonical NAP,/,owner-verify-live,BUSINESS single source of truth,yes,"GBP screenshot showing Loudoun Decks, 13704 Winding Oak Cir, Centreville, VA 20121, +15716557207."
P0,photo-ingestion,Collect original deck repair asset: deck-repair-hero-before-after,/services/deck-repair,missing-asset,evidence coverage,yes,"Original project photo only, with city, month/year if known, project linkage, and publication permission."
P0,photo-ingestion,Collect original deck repair asset: joist-sistering-photo,/services/deck-repair,missing-asset,evidence coverage,yes,"Original project photo only, with city, month/year if known, project linkage, and publication permission."
P0,photo-ingestion,Collect original deck repair asset: ledger-failure-photo,/services/deck-repair,missing-asset,evidence coverage,yes,"Original project photo only, with city, month/year if known, project linkage, and publication permission."
P0,photo-ingestion,Collect original deck repair asset: post-rot-photo,/services/deck-repair,missing-asset,evidence coverage,yes,"Original project photo only, with city, month/year if known, project linkage, and publication permission."
P0,photo-ingestion,Collect original deck repair asset: railing-repair-before-after,/services/deck-repair,missing-asset,evidence coverage,yes,"Original project photo only, with city, month/year if known, project linkage, and publication permission."
P0,photo-ingestion,Collect original deck repair asset: redacted-permit-or-inspection-screenshot,/services/deck-repair,missing-asset,evidence coverage,yes,Redacted permit/inspection screenshot or document image with private information removed; link it to a real project only if the project is verified.
P0,photo-ingestion,Collect original deck repair asset: resurfacing-before-after,/services/deck-repair,missing-asset,evidence coverage,yes,"Original project photo only, with city, month/year if known, project linkage, and publication permission."
P0,photo-ingestion,Collect original deck repair asset: stair-rebuild-before-after,/services/deck-repair,missing-asset,evidence coverage,yes,"Original project photo only, with city, month/year if known, project linkage, and publication permission."
P0,proof,Resolve publish blocker for /before-and-after,/before-and-after,blocked,publish-readiness gate,yes,2 missing evidence item(s). 4 partial evidence item(s). No verified project proof snippets available for this page.
P0,proof,Resolve publish blocker for /composite-deck-cost-northern-virginia,/composite-deck-cost-northern-virginia,blocked,publish-readiness gate,yes,1 missing evidence item(s).
P0,proof,Resolve publish blocker for /services/deck-repair,/services/deck-repair,blocked,publish-readiness gate,yes,No verified warranty term recorded for repair proof modules. No verified repair cost ranges recorded. 8 missing evidence item(s).
P0,proof-ops,Run owner evidence sprint checklist before collecting proof,/services/deck-repair,owner-needed,owner evidence sprint checklist,yes,"Use docs/seo/owner-evidence-sprint-2026-06-08.md and docs/seo/owner-evidence-sprint-2026-06-08.csv to complete repair media, commercial proof, project linkage, privacy, and dry-run blocks."
P1,citations,Archive and re-verify Bing Places public listing proof,/,owner-verify-live,Bing Places verification packet,yes,"Use docs/seo/bing-places-verification-packet-2026-06-08.md; capture public Bing Maps screenshot for https://www.bing.com/maps?ss=ypid.YND1AFC4105F09B172&mkt=en-US plus dashboard claim/sync status, canonical NAP/website, category, and email screenshots."
P1,citations,Claim or verify Apple Business Connect profile with canonical NAP,/,owner-needed,Apple Business Connect verification packet,yes,"Use docs/seo/apple-business-connect-verification-packet-2026-06-08.md; capture dashboard claim/verification status, canonical NAP screenshot, category/service screenshot, website field, and public Apple Maps URL if available."
P1,citations,Claim/complete TimberTech/AZEK directory profile with canonical NAP and service links,/,owner-needed,citation backlink tracker,yes,"Live profile URL, claim status, NAP screenshot, and target service URL used."
P1,citations,Claim/complete Trex Find a Builder profile with canonical NAP and service links,/,owner-needed,citation backlink tracker,yes,"Live profile URL, claim status, NAP screenshot, and target service URL used."
P1,citations,Re-verify MapQuest after sameAs/profile update,/,owner-verify-live,Yext cleanup doc,yes,Screenshot/profile URL showing canonical NAP.
P1,citations,Resolve AroundMe NAP/name conflict or old Prime Solutions/Ashburn variant,/,owner-needed,Yext cleanup doc,yes,Before/after screenshot or public URL with corrected public identity.
P1,citations,Resolve Brownbook NAP/name conflict or old Prime Solutions/Ashburn variant,/,owner-needed,Yext cleanup doc,yes,Before/after screenshot or public URL with corrected public identity.
P1,citations,Resolve CitySquares NAP/name conflict or old Prime Solutions/Ashburn variant,/,owner-needed,Yext cleanup doc,yes,Before/after screenshot or public URL with corrected public identity.
P1,citations,Resolve EZlocal NAP/name conflict or old Prime Solutions/Ashburn variant,/,owner-needed,Yext cleanup doc,yes,Before/after screenshot or public URL with corrected public identity.
P1,citations,Resolve GoLocal247 NAP/name conflict or old Prime Solutions/Ashburn variant,/,owner-needed,Yext cleanup doc,yes,Before/after screenshot or public URL with corrected public identity.
P1,citations,Resolve Growcycle NAP/name conflict or old Prime Solutions/Ashburn variant,/,owner-needed,Yext cleanup doc,yes,Before/after screenshot or public URL with corrected public identity.
P1,citations,Resolve MerchantCircle NAP/name conflict or old Prime Solutions/Ashburn variant,/,owner-needed,Yext cleanup doc,yes,Before/after screenshot or public URL with corrected public identity.
P1,citations,Resolve Nextdoor public profile name/contact contamination,/,owner-needed,Nextdoor cleanup packet,yes,"Use docs/seo/nextdoor-citation-cleanup-packet-2026-06-08.md; capture before/after public screenshots showing canonical Loudoun Decks name, office@ldndecks.com or hidden email, clean deck/outdoor-living categories, canonical URL, and claim/admin state if accessible."
P1,citations,Resolve USCity.net NAP/name conflict or old Prime Solutions/Ashburn variant,/,owner-needed,Yext cleanup doc,yes,Before/after screenshot or public URL with corrected public identity.
P1,gbp,Publish one weekly GBP post from verified education or project content,/services/deck-repair,manual-weekly,gbp:this-week workflow,yes,"Published post screenshot or GBP post URL. If project proof is missing, use educational content, not fake project stories."
P1,gbp,Review GBP services and categories against current service architecture,/services,owner-verify-live,proof ops board,yes,Categories/services screenshot. Keep service list truthful to actual offered services.
P1,gbp,Seed or refresh GBP Q&A using owner-controlled truthful answers,/faqs,manual-weekly,gbp:this-week workflow,yes,Screenshot of live Q&A. Do not impersonate customers or fabricate customer questions.
P1,proof,Complete partial proof records for /showcase,/showcase,proof-incomplete,publish-readiness gate,yes,6 partial evidence item(s). No verified project proof snippets available for this page.
P1,reviews,Respond to all new Google reviews within 48 hours,/reviews,manual-weekly,local SEO ops,yes,Owner response screenshot or review dashboard status. Do not copy review excerpts into site content until source is logged.
P2,citations,Archive NADRA directory profile proof and confirm badge link uses unique profile URL,/,owner-verify-live,NADRA supplied profile URL,yes,Screenshot of live NADRA profile or member dashboard showing Loudoun Decks membership; badge must link to https://www.nadra.org/membership/directory#!biz/id/69f274b54078d1282501ee3b.
P2,citations,Claim or verify Nextdoor Business profile after public cleanup,/,owner-needed,Nextdoor cleanup packet,yes,"Use docs/seo/nextdoor-citation-cleanup-packet-2026-06-08.md; provide live profile URL, claim/admin status screenshot, NAP screenshot, category screenshot, and canonical website field."
